SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,margarine,0.05,0.04,0.02,0.03,0.03,0.07,0.01,0.12,-0.03,-0.02,-0.04,-0.05,0.21,0.32,0.23,0.29,1,0.75,0.16,0.24,0.127894737,0.383333333,0.08,,,,
,butter,0.27,0.22,0.03,0.11,0.08,0.03,0.02,0.19,0.05,0.02,0.03,0.05,0.28,0.39,0.43,0.43,0.75,1,0.38,0.41,0.219473684,0.395,0.198823529,,,,
,biscuit,0.3,0.31,0.08,0.09,0,0.04,0.11,0.12,0.11,0.07,0.1,0.15,0.24,0.29,0.28,0.29,0.16,0.38,1,0.33,0.181578947,0.33,0.173333333,,,,
,ham,0.19,0.14,0.04,0.14,0.26,0,0.06,0.15,0.24,0.07,0.18,0.01,0.29,0.37,0.23,0.25,0.24,0.41,0.33,1,0.189473684,,0.189473684,,,,
,,,,,,,,,,,,,,,,,,,,,,0.151894737,0.197421977,0.159361274,,,,
102,Document,Table,wood,four-legged,craftmanship,metal,screws,support,chairs,round,square,plastic,dinner,eating,gathering,communal,talking,family,friends,tablecloth,silverware,,,,,,,0
,Table,1,0.15,0.19,0.23,0.1,0.08,0.05,0.55,0.22,0.19,0.09,0.57,0.25,0.07,0.08,0.21,0.12,0.18,0.64,0.39,0.229473684,0.229473684,,0.203684211,0.147777778,0.143529412,
,wood,0.15,1,0.12,0.02,0.23,0.25,0.1,0.29,0.21,0.23,0.39,0.11,0.06,0.18,0.08,0.11,0.04,0.05,0.13,0.03,0.146315789,0.146111111,0.15,,,,
,four-legged,0.19,0.12,1,0.05,0.08,0.09,0.15,0.29,0.34,0.32,0.13,0.24,0.24,0.17,0.11,0.24,0.21,0.21,0.14,0.14,0.182105263,0.185294118,0.155,,,,
,craftmanship,0.23,0.02,0.05,1,0.05,0.02,0.05,0.22,0.03,0.04,0.01,0.12,-0.02,0.05,0.23,-0.04,0.23,0.17,0.17,0.06,0.088947368,0.086875,0.1,,,,
,metal,0.1,0.23,0.08,0.05,1,0.38,0.07,0.08,0.12,0.15,0.54,0.01,0.03,0.05,0,0.04,0.03,0.02,0.06,0.02,0.108421053,0.106666667,0.115,,,,
,screws,0.08,0.25,0.09,0.02,0.38,1,0.13,0.1,0.19,0.28,0.31,0.02,0.01,0.03,0.02,0.03,-0.01,0.04,0.06,-0.03,0.105263158,0.084285714,0.164,,,,
,support,0.05,0.1,0.15,0.05,0.07,0.13,1,0.06,0.08,0.08,0.1,0.04,0.05,0.17,0.18,0.02,0.17,0.15,0.03,0.01,0.088947368,0.087692308,0.091666667,,,,
,chairs,0.55,0.29,0.29,0.22,0.08,0.1,0.06,1,0.35,0.25,0.2,0.43,0.16,0.13,0.17,0.29,0.18,0.22,0.47,0.33,0.251052632,0.265,0.227142857,,,,
,round,0.22,0.21,0.34,0.03,0.12,0.19,0.08,0.35,1,0.31,0.13,0.3,0.13,0.22,0.06,0.29,0.09,0.16,0.26,0.07,0.187368421,0.183636364,0.1925,,,,
,square,0.19,0.23,0.32,0.04,0.15,0.28,0.08,0.25,0.31,1,0.21,0.2,0.08,0.15,0.12,0.15,0.06,0.1,0.19,0.08,0.167894737,0.134,0.205555556,,,,
,plastic,0.09,0.39,0.13,0.01,0.54,0.31,0.1,0.2,0.13,0.21,1,0.03,0.05,0.08,0.01,0.07,0.05,0.04,0.14,0.08,0.14,0.061111111,0.211,,,,
,dinner,0.57,0.11,0.24,0.12,0.01,0.02,0.04,0.43,0.3,0.2,0.03,1,0.44,0.18,0.13,0.39,0.23,0.35,0.61,0.46,0.255789474,0.34875,0.188181818,,,,
,eating,0.25,0.06,0.24,-0.02,0.03,0.01,0.05,0.16,0.13,0.08,0.05,0.44,1,0.19,0.11,0.14,0.12,0.19,0.22,0.29,0.144210526,0.18,0.123333333,,,,
,gathering,0.07,0.18,0.17,0.05,0.05,0.03,0.17,0.13,0.22,0.15,0.08,0.18,0.19,1,0.3,0.17,0.09,0.12,0.13,0.07,0.134210526,0.146666667,0.128461538,,,,
,communal,0.08,0.08,0.11,0.23,0,0.02,0.18,0.17,0.06,0.12,0.01,0.13,0.11,0.3,1,-0.01,0.36,0.12,0.02,0.08,0.114210526,0.114,0.114285714,,,,
,talking,0.21,0.11,0.24,-0.04,0.04,0.03,0.02,0.29,0.29,0.15,0.07,0.39,0.14,0.17,-0.01,1,0.16,0.42,0.19,0.11,0.156842105,0.22,0.14,,,,
,family,0.12,0.04,0.21,0.23,0.03,-0.01,0.17,0.18,0.09,0.06,0.05,0.23,0.12,0.09,0.36,0.16,1,0.33,0.07,0.16,0.141578947,0.186666667,0.133125,,,,
,friends,0.18,0.05,0.21,0.17,0.02,0.04,0.15,0.22,0.16,0.1,0.04,0.35,0.19,0.12,0.12,0.42,0.33,1,0.15,0.16,0.167368421,0.155,0.168823529,,,,
,tablecloth,0.64,0.13,0.14,0.17,0.06,0.06,0.03,0.47,0.26,0.19,0.14,0.61,0.22,0.13,0.02,0.19,0.07,0.15,1,0.47,0.218421053,0.47,0.204444444,,,,
,silverware,0.39,0.03,0.14,0.06,0.02,-0.03,0.01,0.33,0.07,0.08,0.08,0.46,0.29,0.07,0.08,0.11,0.16,0.16,0.47,1,0.156842105,,0.156842105,,,,
,,,,,,,,,,,,,,,,,,,,,,0.159263158,0.178485758,0.156251137,,,,
103,Document,Table,chair,plate,light,wood,homework,food,kitchen,mom,house,home,dorm,pictures,placemat,program,pit,activism,union,rolling,legs,,,,,,,0
,Table,1,0.61,0.32,0.08,0.15,0.18,0.08,0.58,0.1,0.14,0.13,0.15,0.07,0.32,0.03,0.06,0.04,0.01,0.13,0.1,0.172631579,0.172631579,,0.144210526,0.121111111,0.111176471,
,chair,0.61,1,0.19,0.14,0.08,0.32,0.04,0.66,0.16,0.28,0.22,0.28,0.08,0.23,0.03,0.08,-0.01,-0.01,0.17,0.24,0.199473684,0.176666667,0.61,,,,
,plate,0.32,0.19,1,0.07,0.1,0.07,0.1,0.3,0.1,0.05,0.09,0.01,0.12,0.15,-0.02,0.11,0,0.01,0.13,0.06,0.103157895,0.085294118,0.255,,,,
,light,0.08,0.14,0.07,1,0.1,0.06,0.08,0.1,0.02,0.08,0.1,0.16,0.09,-0.02,0.01,0.11,0,0.01,0.15,0.07,0.074210526,0.07,0.096666667,,,,
,wood,0.15,0.08,0.1,0.1,1,0.06,0.14,0.17,0.02,0.15,0.12,0,0.13,-0.03,0.01,0.16,0.05,0.02,0.11,0.06,0.084210526,0.078,0.1075,,,,
,homework,0.18,0.32,0.07,0.06,0.06,1,0.04,0.34,0.33,0.18,0.38,0.28,0.13,0.24,0.12,0.05,0,0,0.04,0.09,0.153157895,0.158571429,0.138,,,,
,food,0.08,0.04,0.1,0.08,0.14,0.04,1,0.14,0.04,0.07,0.16,-0.02,0.09,0.04,0.02,0.07,0,0.03,0.06,0.1,0.067368421,0.061538462,0.08,,,,
,kitchen,0.58,0.66,0.3,0.1,0.17,0.34,0.14,1,0.34,0.4,0.35,0.19,0.03,0.36,0.01,0.1,-0.01,0,0.14,0.13,0.227894737,0.17,0.327142857,,,,
,mom,0.1,0.16,0.1,0.02,0.02,0.33,0.04,0.34,1,0.15,0.22,0.19,0.03,0.42,0.01,0.15,0.01,0.01,0.09,0.05,0.128421053,0.120909091,0.13875,,,,
,house,0.14,0.28,0.05,0.08,0.15,0.18,0.07,0.4,0.15,1,0.43,0,0.06,0.02,0.03,0.08,0,0.03,0.19,0.11,0.128947368,0.095,0.166666667,,,,
,home,0.13,0.22,0.09,0.1,0.12,0.38,0.16,0.35,0.22,0.43,1,0.09,0.13,0.14,0.08,0.12,0.03,0.06,0.18,0.18,0.168947368,0.112222222,0.22,,,,
,dorm,0.15,0.28,0.01,0.16,0,0.28,-0.02,0.19,0.19,0,0.09,1,0.06,0.08,-0.01,0.1,0.05,-0.02,0.08,0.15,0.095789474,0.06125,0.120909091,,,,
,pictures,0.07,0.08,0.12,0.09,0.13,0.13,0.09,0.03,0.03,0.06,0.13,0.06,1,0.04,0.05,0.04,0,0.02,0.04,0.06,0.066842105,0.035714286,0.085,,,,
,placemat,0.32,0.23,0.15,-0.02,-0.03,0.24,0.04,0.36,0.42,0.02,0.14,0.08,0.04,1,0.01,0.06,-0.01,0.02,0.04,0.06,0.114210526,0.03,0.153076923,,,,
,program,0.03,0.03,-0.02,0.01,0.01,0.12,0.02,0.01,0.01,0.03,0.08,-0.01,0.05,0.01,1,0.03,0.11,0.06,-0.01,0.03,0.031578947,0.044,0.027142857,,,,
,pit,0.06,0.08,0.11,0.11,0.16,0.05,0.07,0.1,0.15,0.08,0.12,0.1,0.04,0.06,0.03,1,0.05,-0.01,0.22,0.14,0.090526316,0.1,0.088,,,,
,activism,0.04,-0.01,0,0,0.05,0,0,-0.01,0.01,0,0.03,0.05,0,-0.01,0.11,0.05,1,0.04,0,-0.03,0.016842105,0.003333333,0.019375,,,,
,union,0.01,-0.01,0.01,0.01,0.02,0,0.03,0,0.01,0.03,0.06,-0.02,0.02,0.02,0.06,-0.01,0.04,1,0.05,0,0.017368421,0.025,0.016470588,,,,
,rolling,0.13,0.17,0.13,0.15,0.11,0.04,0.06,0.14,0.09,0.19,0.18,0.08,0.04,0.04,-0.01,0.22,0,0.05,1,0.24,0.107894737,0.24,0.100555556,,,,
,legs,0.1,0.24,0.06,0.07,0.06,0.09,0.1,0.13,0.05,0.11,0.18,0.15,0.06,0.06,0.03,0.14,-0.03,0,0.24,1,0.096842105,,0.096842105,,,,
,,,,,,,,,,,,,,,,,,,,,,0.107315789,0.09684901,0.152792011,,,,
104,Document,Table,apple,chair,rug,dog,candle stick,forte,spoon,knife,family,happy,mom,dad,sister,salad,fruit,vegetables,hungry,full,happy,,,,,,,0
,Table,1,0.25,0.61,0.24,0.04,0.21,0,0.45,0.3,0.12,0.19,0.1,0.06,0.12,0.38,0.11,0.09,0.29,0.18,0.19,0.206842105,0.206842105,,0.293157895,0.215,0.168823529,
,apple,0.25,1,0.21,0.17,0.06,0.23,0.03,0.26,0.23,0.05,0.25,0.12,0.1,0.14,0.32,0.47,0.25,0.26,0.26,0.25,0.205789474,0.203333333,0.25,,,,
,chair,0.61,0.21,1,0.43,0.09,0.35,0.06,0.38,0.23,0.11,0.2,0.16,0.12,0.27,0.26,0.05,0.04,0.24,0.34,0.2,0.228947368,0.207647059,0.41,,,,
,rug,0.24,0.17,0.43,1,0.22,0.42,0.09,0.19,0.24,0.09,0.14,0.21,0.19,0.21,0.1,0.02,0.01,0.14,0.18,0.14,0.180526316,0.161875,0.28,,,,
,dog,0.04,0.06,0.09,0.22,1,0.22,-0.01,0.07,0.24,0.06,0.18,0.12,0.07,0.09,0.03,0.01,0,0.26,0.11,0.18,0.107368421,0.108666667,0.1025,,,,
,candle stick,0.21,0.23,0.35,0.42,0.22,1,0.08,0.32,0.48,0.08,0.25,0.01,0.03,0.16,0.11,0.17,0.07,0.28,0.28,0.25,0.210526316,0.183571429,0.286,,,,
,forte,0,0.03,0.06,0.09,-0.01,0.08,1,0.05,0.04,0,0.01,0,-0.01,0.01,-0.01,0.04,0,0.09,0.08,0.01,0.029473684,0.023846154,0.041666667,,,,
,spoon,0.45,0.26,0.38,0.19,0.07,0.32,0.05,1,0.37,0.06,0.15,0.03,0.01,0.19,0.47,0.22,0.17,0.4,0.15,0.15,0.215263158,0.1975,0.245714286,,,,
,knife,0.3,0.23,0.23,0.24,0.24,0.48,0.04,0.37,1,0.02,0.1,-0.02,-0.01,0.09,0.29,0.24,0.19,0.31,0.26,0.1,0.194736842,0.142727273,0.26625,,,,
,family,0.12,0.05,0.11,0.09,0.06,0.08,0,0.06,0.02,1,0.29,0.05,0.06,0.36,0.08,0.08,0.12,0.13,0.21,0.29,0.118947368,0.167,0.065555556,,,,
,happy,0.19,0.25,0.2,0.14,0.18,0.25,0.01,0.15,0.1,0.29,1,0.12,0.13,0.46,0.11,0.13,0.08,0.37,0.32,1,0.235789474,0.302222222,0.176,,,,
,mom,0.1,0.12,0.16,0.21,0.12,0.01,0,0.03,-0.02,0.05,0.12,1,0.94,0.16,0.26,0.03,0.04,0.06,0.03,0.12,0.133684211,0.205,0.081818182,,,,
,dad,0.06,0.1,0.12,0.19,0.07,0.03,-0.01,0.01,-0.01,0.06,0.13,0.94,1,0.1,0.2,0.02,0.02,0.02,0.04,0.13,0.116842105,0.075714286,0.140833333,,,,
,sister,0.12,0.14,0.27,0.21,0.09,0.16,0.01,0.19,0.09,0.36,0.46,0.16,0.1,1,0.14,0.07,0.04,0.2,0.29,0.46,0.187368421,0.2,0.181538462,,,,
,salad,0.38,0.32,0.26,0.1,0.03,0.11,-0.01,0.47,0.29,0.08,0.11,0.26,0.2,0.14,1,0.56,0.68,0.33,0.15,0.11,0.240526316,0.366,0.195714286,,,,
,fruit,0.11,0.47,0.05,0.02,0.01,0.17,0.04,0.22,0.24,0.08,0.13,0.03,0.02,0.07,0.56,1,0.79,0.27,0.2,0.13,0.19,0.3475,0.148,,,,
,vegetables,0.09,0.25,0.04,0.01,0,0.07,0,0.17,0.19,0.12,0.08,0.04,0.02,0.04,0.68,0.79,1,0.23,0.14,0.08,0.16,0.15,0.161875,,,,
,hungry,0.29,0.26,0.24,0.14,0.26,0.28,0.09,0.4,0.31,0.13,0.37,0.06,0.02,0.2,0.33,0.27,0.23,1,0.23,0.37,0.235789474,0.3,0.228235294,,,,
,full,0.18,0.26,0.34,0.18,0.11,0.28,0.08,0.15,0.26,0.21,0.32,0.03,0.04,0.29,0.15,0.2,0.14,0.23,1,0.32,0.198421053,0.32,0.191666667,,,,
,happy,0.19,0.25,0.2,0.14,0.18,0.25,0.01,0.15,0.1,0.29,1,0.12,0.13,0.46,0.11,0.13,0.08,0.37,0.32,1,0.235789474,,0.235789474,,,,
,,,,,,,,,,,,,,,,,,,,,,0.181631579,0.203655028,0.191853763,,,,
105,Document,Table,back,grind,pass,elevate,door,open,watch,stop,beginning,end,next,top,corridor,Shay,wrists,board,write,continue,last,,,,,,,0
,Table,1,0.25,0.07,0.06,0.11,0.15,0.12,0.19,0.15,0.14,0.19,0.28,0.23,0.09,0.03,0.04,0.24,0.04,0.1,0.26,0.144210526,0.144210526,,0.246315789,0.183888889,0.162941176,
,back,0.25,1,0.11,0.29,0.07,0.44,0.44,0.51,0.51,0.3,0.35,0.56,0.38,0.38,0.07,0.29,0.23,0.13,0.23,0.62,0.324210526,0.328333333,0.25,,,,
,grind,0.07,0.11,1,0.16,0.09,0.02,0.09,0.07,0.05,0.08,0.15,0.11,0.15,-0.02,0.04,-0.05,0.07,0.07,0.07,0.12,0.076315789,0.074705882,0.09,,,,
,pass,0.06,0.29,0.16,1,0.02,0.07,0.16,0.21,0.31,0.16,0.28,0.28,0.14,0.17,0.07,0.07,0.11,0.08,0.34,0.26,0.170526316,0.170625,0.17,,,,
,elevate,0.11,0.07,0.09,0.02,1,0.04,0.11,0.07,0.12,0.13,0.07,0.07,0.1,0.01,0.08,0.05,0.1,0.02,0.23,0.07,0.082105263,0.084666667,0.0725,,,,
,door,0.15,0.44,0.02,0.07,0.04,1,0.73,0.19,0.26,0.06,0.14,0.36,0.21,0.61,0,0.17,0.07,0.04,0.03,0.3,0.204736842,0.226428571,0.144,,,,
,open,0.12,0.44,0.09,0.16,0.11,0.73,1,0.32,0.32,0.22,0.33,0.4,0.3,0.51,0.1,0.27,0.13,0.07,0.21,0.37,0.273684211,0.273076923,0.275,,,,
,watch,0.19,0.51,0.07,0.21,0.07,0.19,0.32,1,0.42,0.25,0.34,0.42,0.26,0.12,0.05,0.15,0.21,0.12,0.19,0.38,0.235263158,0.2425,0.222857143,,,,
,stop,0.15,0.51,0.05,0.31,0.12,0.26,0.32,0.42,1,0.23,0.24,0.43,0.25,0.18,0.07,0.08,0.19,0.15,0.29,0.35,0.242105263,0.223636364,0.2675,,,,
,beginning,0.14,0.3,0.08,0.16,0.13,0.06,0.22,0.25,0.23,1,0.54,0.43,0.23,0.16,0.06,0.09,0.16,0.27,0.43,0.5,0.233684211,0.287,0.174444444,,,,
,end,0.19,0.35,0.15,0.28,0.07,0.14,0.33,0.34,0.24,0.54,1,0.39,0.31,0.21,0.24,0.19,0.22,0.12,0.29,0.41,0.263684211,0.264444444,0.263,,,,
,next,0.28,0.56,0.11,0.28,0.07,0.36,0.4,0.42,0.43,0.43,0.39,1,0.38,0.24,0.14,0.13,0.25,0.24,0.32,0.65,0.32,0.29375,0.339090909,,,,
,top,0.23,0.38,0.15,0.14,0.1,0.21,0.3,0.26,0.25,0.23,0.31,0.38,1,0.25,-0.03,0.17,0.23,0.09,0.17,0.34,0.218947368,0.174285714,0.245,,,,
,corridor,0.09,0.38,-0.02,0.17,0.01,0.61,0.51,0.12,0.18,0.16,0.21,0.24,0.25,1,-0.03,0.27,0.13,0.01,0.09,0.26,0.191578947,0.121666667,0.223846154,,,,
,Shay,0.03,0.07,0.04,0.07,0.08,0,0.1,0.05,0.07,0.06,0.24,0.14,-0.03,-0.03,1,0.15,0.11,0.07,0.07,0.18,0.077368421,0.116,0.063571429,,,,
,wrists,0.04,0.29,-0.05,0.07,0.05,0.17,0.27,0.15,0.08,0.09,0.19,0.13,0.17,0.27,0.15,1,0.17,0.04,0.01,0.12,0.126842105,0.085,0.138,,,,
,board,0.24,0.23,0.07,0.11,0.1,0.07,0.13,0.21,0.19,0.16,0.22,0.25,0.23,0.13,0.11,0.17,1,0.19,0.15,0.18,0.165263158,0.173333333,0.16375,,,,
,write,0.04,0.13,0.07,0.08,0.02,0.04,0.07,0.12,0.15,0.27,0.12,0.24,0.09,0.01,0.07,0.04,0.19,1,0.08,0.16,0.104736842,0.12,0.102941176,,,,
,continue,0.1,0.23,0.07,0.34,0.23,0.03,0.21,0.19,0.29,0.43,0.29,0.32,0.17,0.09,0.07,0.01,0.15,0.08,1,0.28,0.188421053,0.28,0.183333333,,,,
,last,0.26,0.62,0.12,0.26,0.07,0.3,0.37,0.38,0.35,0.5,0.41,0.65,0.34,0.26,0.18,0.12,0.18,0.16,0.28,1,0.305789474,,0.305789474,,,,
,,,,,,,,,,,,,,,,,,,,,,0.197473684,0.193877022,0.188268588,,,,
106,Document,Table,cloth,silverware,dinner,novel,tennis,flat,leg,chair,runner,plates,dishes,napkin,wipe,tray,graph,chart,comparison,mate,water,,,,,,,0
,Table,1,0.11,0.39,0.57,0.04,0.15,0.13,0.14,0.61,0.04,0.24,0.58,0.63,0.25,0.47,0.23,0.19,0.1,0.07,0.11,0.265789474,0.265789474,,0.194210526,0.182777778,0.157647059,
,cloth,0.11,1,0.22,0.11,0,0.08,0.07,0.08,0.13,0.02,0.05,0.23,0.1,0.16,0.16,0.05,0.1,0.02,-0.02,0.1,0.093157895,0.092222222,0.11,,,,
,silverware,0.39,0.22,1,0.46,0.02,0.09,0.02,0.1,0.28,0.01,0.21,0.56,0.43,0.18,0.34,0.05,0.02,0.07,0.02,0.08,0.186842105,0.172941176,0.305,,,,
,dinner,0.57,0.11,0.46,1,0.05,0.17,0.12,0.18,0.48,0.05,0.26,0.69,0.61,0.22,0.38,0.05,0.05,0.04,0.13,0.1,0.248421053,0.22375,0.38,,,,
,novel,0.04,0,0.02,0.05,1,0.01,0.06,-0.01,0.06,0.02,0,0.03,0.03,0.02,0.06,-0.02,0.08,0.24,0.02,0.02,0.038421053,0.041333333,0.0275,,,,
,tennis,0.15,0.08,0.09,0.17,0.01,1,0.1,0.18,0.15,0.4,0.03,0.11,0.05,0.09,0.05,0.02,0.08,0.09,0.06,0.07,0.104210526,0.105714286,0.1,,,,
,flat,0.13,0.07,0.02,0.12,0.06,0.1,1,0.15,0.14,0.08,0.21,0.1,0.11,0.15,0.16,0.13,0.16,0.09,0.03,0.21,0.116842105,0.132307692,0.083333333,,,,
,leg,0.14,0.08,0.1,0.18,-0.01,0.18,0.15,1,0.26,0.28,0.13,0.13,0.2,0.27,0.15,0.03,0.03,0.07,0.09,0.07,0.133157895,0.1425,0.117142857,,,,
,chair,0.61,0.13,0.28,0.48,0.06,0.15,0.14,0.26,1,0,0.14,0.48,0.47,0.33,0.51,0.07,0.09,0.04,0.14,0.06,0.233684211,0.211818182,0.26375,,,,
,runner,0.04,0.02,0.01,0.05,0.02,0.4,0.08,0.28,0,1,0.08,0,0.05,0.1,0.12,-0.01,0.07,0.1,0.13,0.03,0.082631579,0.067,0.1,,,,
,plates,0.24,0.05,0.21,0.26,0,0.03,0.21,0.13,0.14,0.08,1,0.3,0.36,0.21,0.28,0.05,-0.03,0.1,0.04,0.08,0.144210526,0.154444444,0.135,,,,
,dishes,0.58,0.23,0.56,0.69,0.03,0.11,0.1,0.13,0.48,0,0.3,1,0.58,0.28,0.52,0.02,0.09,0.03,0.09,0.17,0.262631579,0.2225,0.291818182,,,,
,napkin,0.63,0.1,0.43,0.61,0.03,0.05,0.11,0.2,0.47,0.05,0.36,0.58,1,0.26,0.51,0.05,0.08,0.03,0.09,0.04,0.246315789,0.151428571,0.301666667,,,,
,wipe,0.25,0.16,0.18,0.22,0.02,0.09,0.15,0.27,0.33,0.1,0.21,0.28,0.26,1,0.33,0.06,0.09,0.02,0.19,0.18,0.178421053,0.145,0.193846154,,,,
,tray,0.47,0.16,0.34,0.38,0.06,0.05,0.16,0.15,0.51,0.12,0.28,0.52,0.51,0.33,1,0.02,0.18,0.06,0.1,0.25,0.244736842,0.122,0.288571429,,,,
,graph,0.23,0.05,0.05,0.05,-0.02,0.02,0.13,0.03,0.07,-0.01,0.05,0.02,0.05,0.06,0.02,1,0.41,0.24,-0.03,0.08,0.078947368,0.175,0.053333333,,,,
,chart,0.19,0.1,0.02,0.05,0.08,0.08,0.16,0.03,0.09,0.07,-0.03,0.09,0.08,0.09,0.18,0.41,1,0.17,0.08,0.12,0.108421053,0.123333333,0.105625,,,,
,comparison,0.1,0.02,0.07,0.04,0.24,0.09,0.09,0.07,0.04,0.1,0.1,0.03,0.03,0.02,0.06,0.24,0.17,1,0.03,0.09,0.085789474,0.06,0.088823529,,,,
,mate,0.07,-0.02,0.02,0.13,0.02,0.06,0.03,0.09,0.14,0.13,0.04,0.09,0.09,0.19,0.1,-0.03,0.08,0.03,1,0.15,0.074210526,0.15,0.07,,,,
,water,0.11,0.1,0.08,0.1,0.02,0.07,0.21,0.07,0.06,0.03,0.08,0.17,0.04,0.18,0.25,0.08,0.12,0.09,0.15,1,0.105789474,,0.105789474,,,,
,,,,,,,,,,,,,,,,,,,,,,0.151631579,0.14521488,0.167522805,,,,
107,Document,Table,chair,low,high,wide,thin,glass,wood,legs,bar,kitchen,dining room,restaurant,computer,round,square,rectangle,triangle,thick,metal,,,,,,,0
,Table,1,0.61,0.18,0.14,0.12,0.09,0.16,0.15,0.1,0.16,0.58,0.51,0.34,0.03,0.22,0.19,0.15,0.1,0.09,0.1,0.211578947,0.211578947,,0.305263158,0.165555556,0.165882353,
,chair,0.61,1,0.15,0.15,0.19,0.15,0.22,0.08,0.24,0.18,0.66,0.76,0.26,0.03,0.34,0.17,0.07,0.11,0.13,0.06,0.24,0.219444444,0.61,,,,
,low,0.18,0.15,1,0.79,0.37,0.23,0.1,0.12,0.16,0.1,0.12,0.15,0.13,0.03,0.25,0.15,0,0.1,0.24,0.13,0.184210526,0.186470588,0.165,,,,
,high,0.14,0.15,0.79,1,0.42,0.21,0.09,0.13,0.17,0.12,0.08,0.14,0.18,0.07,0.28,0.2,0.04,0.08,0.24,0.16,0.194210526,0.163125,0.36,,,,
,wide,0.12,0.19,0.37,0.42,1,0.38,0.17,0.25,0.33,0.19,0.13,0.19,0.13,0.05,0.4,0.5,0.24,0.26,0.47,0.17,0.261052632,0.257333333,0.275,,,,
,thin,0.09,0.15,0.23,0.21,0.38,1,0.32,0.28,0.31,0.11,0.15,0.16,0.08,0.03,0.42,0.23,0.08,0.18,0.7,0.26,0.23,0.236428571,0.212,,,,
,glass,0.16,0.22,0.1,0.09,0.17,0.32,1,0.23,0.06,0.19,0.24,0.25,0.14,0.01,0.19,0.12,0.07,0,0.25,0.27,0.162105263,0.155384615,0.176666667,,,,
